id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
186,,lead-time-from-activity-a-to-activity-b-case-granularity-t-c,Lead Time from activity A to activity B (case granularity),5,2,Total elapsed time between the earliest instantiation of a specific activity and the earliest instantiation of another specific activity that occurs after the former one in a case.,Event log is associated with a process in which the total elapsed time of a specific subprocess is of relevance.,Minimizing lead time is desirable.,minimize,"\(\mathit{LTAB(c, \mathit{a, \mathit{b)\)","\(\begin{cases}
\mathit{lt(x,y) & \mathit{for~any \  x \in \mathit{fi\mathit{^{s(c, \mathit{a) \mathit{\ and \  y \in \mathit{fi\mathit{^{sc(c, \mathit{a, \mathit{b)","\(\begin{cases}
\mathit{lt(x,y) & \mathit{for~any \  x \in \mathit{fi\mathit{^{s(c, \mathit{a) \mathit{\ and \  y \in \mathit{fi(c, \mathit{a, \mathit{b) \\
undefined & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) = \emptyset
\end{cases}\)","$\mathit{fi\mathit{^{s(c, \mathit{a)$ returns the set of first started instances of activity $\mathit{a$ in case $c$.
\newline $\mathit{fi(c, \mathit{a, \mathit{b)$ returns the first instance of activity $\mathit{b$ occurring after the first started instance of activity $\mathit{a$ in case $c$.
\newline $\mathit{lt(x,y)$ returns the lead time between activity instances $x$ and $y$.\\"
187,,lead-time-to-activity-a-case-granularity-t-c,Lead Time to activity A (case granularity),5,2,Total elapsed time between the earliest event and the earliest instantiation of a specific activity in a case.,Event log is associated with a process in which the total elapsed time of a specific subprocess is of relevance.,Minimizing lead time is desirable.,minimize,"\(\mathit{LTtA(c, \mathit{a)\)","\(\begin{cases}
\mathit{lt(x, y) & \mathit{for~any \  x \in \mathit{strin(c) \mathit{\ and \  y \in \mathit{fi\mathit{^{c(c, \mathit{a) \\ \bot & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) = \emptyset
\end{cases}\)","\(\begin{cases}
\mathit{lt(x, y) & \mathit{for~any \  x \in \mathit{strin(c) \mathit{\ and \  y \in \mathit{fi\mathit{^{c(c, \mathit{a) \\
undefined & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) = \emptyset
\end{cases}\)","$\mathit{strin(c)$ returns the activity instance that starts case $c$.
\newline $\mathit{fi\mathit{^{c(c, \mathit{a)$ returns the first completed instance of activity $\mathit{a$ in case $c$.
\newline $\mathit{lt(x, y)$ returns the lead time between activity instances $x$ and $y$.\\"
188,,maintenance-cost-case-granularity-c-c,Maintenance Cost (case granularity),1,2,Maintenance cost associated with a case.,Process where the cost of conducting maintenance is relevant.,Minimizing maintenance cost is desirable.,minimize,\(\mathit{MainC(c)\),\(#^{}_{\mathit{mainc}(c)\),\(#^{}_{\mathit{mainc}(c)\),\(#^{}_{\mathit{mainc}\) returns the maintenance cost associated with case \(c\). \\
189,,maintenance-cost-group-of-cases-granularity-c-g,Maintenance Cost (group of cases granularity),1,3,Maintenance cost associated with all cases in a group of cases.,Process where the cost of conducting maintenance is relevant.,Minimizing maintenance cost is desirable.,minimize,\(\mathit{MainC(g)\),\(\sum _{c \in g} \mathit{MainC(c)\),\(\sum _{c \in g} \mathit{MainC(c)\),\(\mathit{MainC(c)\) returns the maintenance cost for case \(c\). \\
190,,missed-deadline-cost-case-granularity-c-c,Missed Deadline Cost (case granularity),1,2,Cost for missing deadlines associated with a case.,Process where missing a deadline incurs in additional costs.,Minimizing missed deadline cost is desirable.,minimize,\(\mathit{MDC(c)\),\(#^{}_{\mathit{mdc}(c)\),\(#^{}_{\mathit{mdc}(c)\),\(#^{}_{\mathit{mdc}\) returns the missed deadline cost associated with case \(c\). \\
191,,missed-deadline-cost-group-of-cases-granularity-c-g,Missed Deadline Cost (group of cases granularity),1,3,Cost for missing deadlines associated with all cases in a group of cases.,Process where missing a deadline incurs in additional costs.,Minimizing missed deadline cost is desirable.,minimize,\(\mathit{MDC(g)\),\(\sum _{c \in g} \mathit{MDC(c)\),\(\sum _{c \in g} \mathit{MDC(c)\),\(\mathit{MDC(c)\) returns the missed deadline cost for case \(c\). \\
192,,non-automated-activity-count-case-granularity-q-c,Non-Automated Activity count (case granularity),4,2,Number of non-automated activities that occur in a case.,Event log that contains automated activities.,"Non-automated activities are prone to errors, which reduces the quality of the process.",minimize,\(\mathit{NAutA(c)\),\(|\mathit{act(c) \backslash \mathit{Autl|\),"\(\displaystyle \sum_{a \in \mathit{act(c)}
\begin{cases}
1 & \text{if } a \notin \mathit{Autl \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{Autl\) returns the set of automated activities. \\"
193,,non-automated-activity-count-group-of-cases-granularity-q-g,Non-Automated Activity count (group of cases granularity),4,3,Number of non-automated activities that occur in a group of cases.,Event log that contains automated activities.,"Non-automated activities are prone to errors, which reduces the quality of the process.",minimize,\(\mathit{NAutA(g)\),\(|(\cup _{c \in g} \mathit{act(c)) \backslash \mathit{Autl|\),"\(\displaystyle \sum_{a \in (\cup _{c \in g} \mathit{act(c))}
\begin{cases}
1 & \text{if } a \notin \mathit{Autl \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{Autl\) returns the set of automated activities. \\"
194,,non-automated-activity-instance-count-case-granularity-q-c,Non-Automated activity Instance count (case granularity),4,2,Number of times that a non-automated activity is instantiated in a case.,Event log that contains automated activities.,"Non-automated activities are prone to errors, which reduces the quality of the process.",minimize,\(\mathit{NAutI(c)\),\(|\{i \in \mathit{inst(c) \mid \mathit{act(i) \notin \mathit{Autl\}|\),"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \notin \mathit{Autl \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Autl\) returns the set of automated activities. \\"
195,,non-automated-activity-instance-count-group-of-cases-granularity-q-g,Non-Automated activity Instance count (group of cases granularity),4,3,Number of times that a non-automated activity is instantiated in a group of cases.,Event log that contains automated activities.,"Non-automated activities are prone to errors, which reduces the quality of the process.",minimize,\(\mathit{NAutI(g)\),\(\sum _{c \in g} \mathit{NAutI(c)\),\(\sum _{c \in g} \mathit{NAutI(c)\),\(\mathit{NAutI(c)\) returns the non-automated activity instance count for case \(c\). \\
196,,optional-activity-count-case-granularity-f-c,Optional Activity count (case granularity),2,2,Number of optional activities that are instantiated in a case. \newline An activity is considered optional if there is at least one case in the event log where it does not occur.,fProcess with multiple activities that are not instantiated in every case.,"A greater number of optional activities is desired, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{OptA(c)\),\(|\{a \in \mathit{act(c) \mid \exists c' \in C[a \notin \mathit{act(c')]\}|\),"\(\displaystyle \sum_{a \in \mathit{act(c)}
\begin{cases}
1 & \text{if } a \in \mathit{opt(C) \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{opt(C)\) returns the set of optional activities in the event log \(C\). \\"
197,,optional-activity-count-group-of-cases-granularity-f-g,Optional Activity count (group of cases granularity),2,3,Number of optional activities that are instantiated in a group of cases. \newline An activity is considered optional if there is at least one case in the event log where it does not occur.,Process with multiple activities that are not instantiated in every case.,"A greater number of optional activities is desired, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{OptA(g)\),\(|\{a \in \mathit{act(c) \mid c \in g \land \exists c' \in C[a \notin \mathit{act(c')]\}|\),"\(\displaystyle \sum_{a \in \mathit{act(g)}
\begin{cases}
1 & \text{if } a \in \mathit{opt(C) \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{opt(C)\) returns the set of optional activities in the event log \(C\). \\"
198,,optionality-case-granularity-f-c,Optionality (case granularity),2,2,"Ratio between the number of optional activities that are instantiated in a case, and the number of activities that occur in a case. \newline An activity is considered optional if there is at least one case in the event log where it does not occur.",Process with multiple activities that are not instantiated in every case.,"A greater number of optional activities is desired, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{Opt(c)\),\(\frac{\mathit{OptA(c)}{\mathit{A(c)}\),\(\frac{\mathit{OptA(c)}{\mathit{A(c)}\),"\(\mathit{OptA(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
199,,optionality-group-of-cases-granularity-f-g,Optionality (group of cases granularity),2,3,"Ratio between the number of optional activities that are instantiated in a group of cases, and the number of activities that occur in a group of cases. \newline An activity is considered optional if there is at least one case in the event log where it does not occur.",Process with multiple activities that are not instantiated in every case.,"A greater number of optional activities is desired, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{Opt(g)\),\(\frac{\mathit{OptA(g)}{\mathit{A(g)}\),\(\frac{\mathit{OptA(g)}{\mathit{A(g)}\),"\(\mathit{OptA(g)\) returns the optional activity count for group \(g\).
\newline \(\mathit{A(g)\) returns the number of unique activities in group \(g\). \\"
200,,outcome-unit-count-activity-granularity-q-a,outcome Unit count (activity granularity),4,1,Outcome units associated with all instantiations of an activity in the event log.,Process where the outcome of activity instances can be measured.,Maximizing outcome unit count is desirable.,maximize,"\(\mathit{U\mathit{^{\times(a)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(a)} \mathit{U\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(a)} \mathit{U(i)\),"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{U(i)\) returns the outcome unit count of activity instance \(i\). \\"
201,,outcome-unit-count-case-granularity-q-c,outcome Unit count (case granularity),4,2,Outcome units associated with all activity instances in a case.,Process where the outcome of activity instances can be measured.,Maximizing outcome unit count is desirable.,maximize,"\(\mathit{U\mathit{^{\times(c)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{e \in \mathit{inst(c)} \mathit{U\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(c)} \mathit{U(i)\),"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{U(i)\) returns the outcome unit count of activity instance \(i\). \\"
202,,outcome-unit-count-group-of-cases-granularity-q-g,outcome Unit count (group of cases granularity),4,3,Outcome units associated with all activity instances in a group of cases.,Process where the outcome of activity instances can be measured.,Maximizing outcome unit count is desirable.,maximize,"\(\mathit{U\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{c \in g} \mathit{U\mathit{^{\times(c)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sum$.",\(\sum _{c \in g} \mathit{U(c)\),\(\mathit{U(c)\) returns the outcome unit count of case \(c\). \\
203,,outcome-unit-count-considering-single-events-of-activity-instances-activity-instance-granularity-q-i,outcome Unit count considering single events of activity instances (activity instance granularity),4,4,"Outcome units associated with an activity instance, measured as the latest recorded value among the events of the activity instance.",Process where the outcome of activity instances can be measured.,Maximizing outcome unit count is desirable.,maximize,\(\mathit{U\mathit{^{sgl(i)\),"\(\begin{cases}
#^{}_{\mathit{unt}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) \neq \bot","\(\begin{cases}
#^{}_{\mathit{unt}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) \neq undefined \\
#^{}_{\mathit{unt}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{unt}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{unt}(\mathit{str(i)) = undefined \\
\end{cases}\)","\(#^{}_{\mathit{unt}\) returns the outcome unit count associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
